LON	LAT	NUMBER	STREET	UNIT	CITY	DISTRICT	REGION	POSTCODE	ID	HASH
-66.7293797	45.9640762	40	Jessie Dr		Fredericton			E3C1L8		56c5f3dc8e6e77ce
-66.768231	45.9639913	9	Westwood Dr		Fredericton			E3C1K9		15e804e9a402d800
-66.6492649	45.9642114	173	King St		Fredericton			E3B1C8		748e7052cff9d15f
-66.6617313	45.9641979	194	Woodstock Rd		Fredericton			E3B2H5		f87c169da000dc83
-66.7269611	45.9640868	33	MacIntosh St		Fredericton			E3C1L8		4b78dc7f2d607004
-66.7266088	45.964088	32	MacIntosh St		Fredericton			E3C1L8		8068523a22f0ecd1
-66.6921493	45.9641533	56	Angelview Crt		Fredericton			E3B7A8		a8db053e13afecc3
-66.6142221	45.9642623	342	Gibson St		Fredericton			E3A4E6		23ec740789f5f2e6
-66.7253598	45.9640987	53	Lily St		Fredericton			E3C1L6		3414c0a214c84d56
-66.6498345	45.9642232	151	King St		Fredericton			E3B1C8		bf25dfcac17e162a
-66.7297321	45.9640925	39	Jessie Dr		Fredericton			E3C1L8		d9ccbda8e3e2da53
-66.7707714	45.9640028	16	Mooers Dr		Fredericton			E3C1K9		285b4b9386414dfc
-66.7316851	45.9640903	35	Barrington Rd		Fredericton			E3C0A5		7289cf5ba6ae526b
-66.679361	45.9641863	767	Woodstock Rd		Fredericton			E3B5N9		be5aafba99b72958
-66.7199604	45.9641178	38	Selkirk Cres		Fredericton			E3C1M1		3ff06c34801e22d2
-66.7563118	45.9640426	2790	Woodstock Rd		Fredericton			E3C1P9		96a3e82dc3e6c462
-66.6499771	45.9642352	141	King St		Fredericton			E3B1C8		7cd00be9ab4f8814
-66.6499061	45.9642353	149	King St		Fredericton			E3B1C8		f2ebaaea1c13e539
-66.6186875	45.9642726	257	Sewell St		Fredericton			E3A3G5		97f0e3a5e54586b6
-66.6525091	45.9642358	70	Brunswick St		Fredericton			E3B1G4		7732cb2acb42333f
-66.6945252	45.9641745	210	Coburn Crt		Fredericton			E3B7A6		8c059cd535b259a1
-66.7287871	45.9641121	47	Sherry's Ln		Fredericton			E3C1L8		6c80b6de5792482d
-66.6501642	45.9642475	133	King St		Fredericton			E3B1C8		8277e318a26e4523
-66.6776639	45.9642128	727	Woodstock Rd		Fredericton			E3B5N8		7aca3ad9480619da
-66.6152408	45.9643004	327	Gibson St		Fredericton			E3A4E7		f306cdec07ce3899
-66.7684783	45.9640456	5	Westwood Dr		Fredericton			E3C1K9		6cb52d1a25bdf5b4
-66.7259173	45.9641408	67	Lily St		Fredericton			E3C1L6		465d6f4e1db70bfb
-66.617378	45.9643045	280	Sewell St		Fredericton			E3A3G6		02a6d596ad0150f1
-66.7312943	45.9641306	32	Barrington Rd		Fredericton			E3C1L8		27e9568930e95854
-66.6589969	45.9642576	41	Rookwood Ave		Fredericton			E3B2L8		f0e90bc67ad7e9ef
-66.7307016	45.9641359	35	Senator Dr		Fredericton			E3C1L8		66acac94d60fd7bb
-66.6503785	45.964272	125	King St		Fredericton			E3B1C8		0ff755aace95e5db
-66.6627894	45.964258	225	Woodstock Rd		Fredericton			E3B2H8		eb9cc6eb9ea90eab
-66.6259036	45.9643053	128	Gill St		Fredericton			E3A3A6		8cbda4518b8f6670
-66.7220404	45.9641596	151	Talisman Cres		Fredericton			E3C1M1		9853ae73a0a10f4f
-66.6139913	45.9643201	348	Gibson St		Fredericton			E3A4E6		3245d3e03c648031
-66.6244864	45.9643118	750	Prince St		Fredericton			E3A3H3		8e756b75c20c8ce9
-66.6613393	45.9642669	184	Woodstock Rd		Fredericton			E3B2H5		318193f7a715602e
-66.6479562	45.9642855	80	Northumberland St		Fredericton			E3B3H8		e2b6a959e51f6cd3
-66.7256078	45.9641585	61	Lily St		Fredericton			E3C1L6		47745fa0c988fb00
-66.6527595	45.9642801	60	Brunswick St		Fredericton			E3B1G4		ff36488102acc985
-66.650512	45.9642844	119	King St		Fredericton			E3B1C8		70cc0849ea8c8f5d
-66.7278454	45.9641563	37	Baybarry St		Fredericton			E3C1L8		1a7db8f38a8c8e3e
